"";"sk_id";"clean_comments"
"1";1e+06;""
"2";1000001;""
"3";1000002;""
"4";1000003;""
"5";1000004;""
"6";1000005;""
"7";1000006;""
"8";1000007;""
"9";1000008;""
"10";1000009;""
"11";1000010;""
"12";1000011;""
"13";1000012;""
"14";1000013;"De IFR infection fatality rate van Covid-19 is 0 23 voor alle leeftijden en de veel meer zeggende IFR voor onder de 70 is 0 05 ."
"15";1000014;"nee man omdat de coffeeshop eerder dicht gaat is het drukker geworden het kon beter tot 12 uur open blijven grote fout"
"16";1000015;"Zorg is de laatste jaren kapot bezuinigd onder het toeziend oog van Rutte De economie gaan nu kapot door slechte beslissingen destijds. Sterker nog de griep van 2017 / 2018 met toen nog 2340 ic bedden incl. bijbehorend personeel had ook geen 1100 ic bedden moeten hebben. Les niet geleerd"
"17";1000016;"Het kleine voedsel tentje moet dicht maar walibi blijft gewoon open hahahah. 2 maanden terug was ik in walibi. Anderhalve meter werd er in de rij totaal niet gehouden door jong en oud ontsmetten van karretjes gebeurd ook niet iedereen zit er aan. Stel iemand in de achtbaan heeft corona en schreeuwt dan krijgt diegene achter zich het waarschijnlijk in de mond. stadium mag je ook niet schreeuwen Ook vorige week als het regent gaat iedereen natuurlijk schuilen knus en wel naast elkaar. Er is in een park misschien meer ruimte maar dat zegt totaal niet dat mensen de 1.5 meter aanhouden er is ook bijna geen toezicht op. Bij een kleine snackbar ontsmetten de bediendes en is er een duidelijk overzicht wie zich aan de regels houd. en komt er veel minder man over de vloer dan een pretpark. Binnen 1 dag kunnen er meer corona besmettingen in een pretpark ontstaan waar niet word ontsmet dan een kleine snackbar met toezicht en een max van een aantal man binnen."
"18";1000017;""
"19";1000018;"Hoe kan het dat men nu 6 maanden denkt dat er een crisis is men miljarden wil uitgeven aan het bestrijden van gevolgen van de maatregelen. Maar men heeft geen extra ziekenhuizen gebouwd of lonen voor zorgpersoneel omhoog te gooien zodat er meer mensen in zorg gaan werken."
"20";1000019;"22:18 ze zijn niet aan het dweilen. Ze zijn letterlijk aan het dansen."
"21";1000020;""
"22";1000021;""
"23";1000022;"1:19:35 Dus je gaat met vertellen dat het oke is om 1500 kinderen op school elke dag aanwezig moeten zijn maar dat een horeca van 30 mensen dicht moet. Dit klopt gewoon niet"
"24";1000023;""
"25";1000024;""
