,Unnamed: 0,sk_id,clean_comments,comment_lemma
0,1,1000000.0,De maatregel die ik absoluut niet begrijp is sluitingstijden beperken voor winkels Als je wil dat het rustig in winkels is dan moet je sluitingstijden juist verruimen.,De maatregel die ik absoluut niet begrijpen is sluitingstijd beperken voor winkel als je willen dat het rustig in winkel is dan moeten je sluitingstijd juist verruimen.
1,2,1000001.0,Rutte en de jonge jullie zijn slangen,Rutte en de jong jullie zijn slang
2,3,1000002.0,oh hans koop jij alvast de wc papier in we gaan in lock down voor een half jaar.,oh hans kopen jij alvast de wc papier in we gaan in lock down voor een half jaar.
3,4,1000003.0,Komen er nog kamervragen over Demmink Trending nu.,komen er nog kamervragen over Demmink trending nu.
4,5,1000004.0,en de koning gaat zelf lekker op vakantie in griekenland,en de koning gaan zelf lekker op vakantie in griekenland
5,6,1000005.0,Rutte heeft op de basisschool geloof ik de voorleeswedstrijd gewonnen.,Rutte hebben op de basisschool geloven ik de voorleeswedstrijd gewinnen.
6,7,1000006.0,Deze mofos hebben gwn advertenties aangezet wauw,deze mofos hebben gwn advertentie aanzetten wauw
7,8,1000007.0,De zorg in Nederland we doen of we de beste van de wereld zijn maar in werkelijkheid is het n grote pruts bende.. Je ziet in ieder bedrijfstak verkeerde mensen op de verkeerde plek..,De zorg in Nederland we doen of we de goed van de wereld zijn maar in werkelijkheid is het n groot pruts bende.. Je zien in ieder bedrijfstak verkeerd mens op de verkeerd plek..
8,9,1000008.0,Ja man. Op school zitten meer dan duizend kinderen en school gaat gewoon door. Slim man,Ja man. Op school zitten veel dan duizend kind en school gaan gewoon door. slim man
9,10,1000009.0,Ik ga Bassie en Adriaan kijken.......,Ik ga bassie en Adriaan kijken.......
10,11,1000010.0,ik wil alleen lockdown zodat k nie naar school hoef te fietsen.,ik willen alleen lockdown zodat k nie naar school hoeven te fietsen.
